iter	Passed	Remaining
0	0	29
1	0	28
2	0	26
3	1	24
4	1	25
5	1	25
6	1	25
7	2	25
8	2	25
9	2	24
10	3	24
11	3	24
12	3	24
13	3	23
14	4	23
15	4	23
16	4	23
17	5	23
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	8	20
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	6
81	25	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	29	3
90	29	2
91	29	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	33	0
